Epoch,Training Loss,Validation Loss
1,0.032288545380779514,0.010174360382370651
2,0.007262298146227173,0.005638187588192523
3,0.005086346567982131,0.004557132313493639
4,0.004304584430139156,0.003945965337334201
5,0.0038267948240587476,0.003636411513434723
6,0.0036585935551649447,0.0035728156741242855
7,0.003616605594659307,0.003526219114428386
8,0.0035781131265388362,0.0035137514758389445
9,0.0035707621396204848,0.0034878403530456126
10,0.003557482707628589,0.0034789530152920635
11,0.003539247911387853,0.0034684834885410965
12,0.003525022009482524,0.003456810291390866
13,0.00352545890357986,0.0034545289934612812
14,0.003504591501632314,0.0034370839013718067
15,0.003497981619101706,0.0034338606346864253
16,0.00348592094282151,0.0034259129839483648
17,0.00348550842920686,0.00341849495889619
18,0.0034795882711246323,0.0034104887570720168
19,0.003469174512762837,0.003403513447847217
20,0.0034627494977632904,0.003405753476545215
21,0.0034598767769279753,0.003389206790598109
22,0.0034527692552300017,0.0033754625066649167
23,0.003442316270095243,0.0033682585577480494
24,0.003427077712087779,0.0033510648820083587
25,0.0034206853793922122,0.003338038478977978
26,0.003403381408921852,0.0033271629945375025
27,0.0033936182164533693,0.003316526516573504
28,0.0033762280155969844,0.003302463487489149
29,0.003361064727139321,0.0032928481756243854
30,0.003344596335427112,0.0032687410479411484
