epoch,MeanSquaredError,lambda,loss,val_MeanSquaredError,val_lambda,val_loss
23,2.725335070863366e-05,1.037052697938634e-05,1.037052697938634e-05,3.265628038207069e-05,1.2254743523953948e-05,1.2254743523953948e-05
24,2.6381101633887738e-05,1.0076404578285292e-05,1.0076404578285292e-05,3.327520244056359e-05,1.2421955943864305e-05,1.2421955943864305e-05
25,2.6178955522482283e-05,9.998856512538623e-06,9.998856512538623e-06,3.9145998016465455e-05,1.4165789252729155e-05,1.4165789252729155e-05
26,2.5594999897293746e-05,9.799547115107998e-06,9.799547115107998e-06,3.1966541428118944e-05,1.1985861419816501e-05,1.1985861419816501e-05
27,2.5425235435250215e-05,9.733458682603668e-06,9.733458682603668e-06,3.108645250904374e-05,1.1709017599059734e-05,1.1709017599059734e-05
28,2.496162233001087e-05,9.575744115863927e-06,9.575744115863927e-06,3.115473373327404e-05,1.170806626760168e-05,1.170806626760168e-05
29,2.482157105987426e-05,9.524424967821687e-06,9.524424967821687e-06,3.196956095052883e-05,1.1955805348407011e-05,1.1955805348407011e-05
30,2.4455119273625314e-05,9.399034752277657e-06,9.399034752277657e-06,3.0252775104600005e-05,1.1422454917919822e-05,1.1422454917919822e-05
31,2.4350079911528155e-05,9.359549949294887e-06,9.359549949294887e-06,3.1265648431144655e-05,1.1727357559720986e-05,1.1727357559720986e-05
32,2.4080989533104002e-05,9.26779284782242e-06,9.26779284782242e-06,3.0031349524506368e-05,1.133059231506195e-05,1.133059231506195e-05
33,2.3995207811822183e-05,9.235476682079025e-06,9.235476682079025e-06,2.9776469091302715e-05,1.1243936569371726e-05,1.1243936569371726e-05
34,2.3786014935467392e-05,9.163600225292612e-06,9.163600225292612e-06,2.9629482014570385e-05,1.1191284102096688e-05,1.1191284102096688e-05
35,2.3716311261523515e-05,9.13803160074167e-06,9.13803160074167e-06,2.9414708478725515e-05,1.1124367119919043e-05,1.1124367119919043e-05
36,2.3555232473881915e-05,9.082881661015563e-06,9.082881661015563e-06,2.9456841730279848e-05,1.1132652616652194e-05,1.1132652616652194e-05
37,2.350696195208002e-05,9.064671758096665e-06,9.064671758096665e-06,2.9509257728932425e-05,1.114614224206889e-05,1.114614224206889e-05
38,2.337959267606493e-05,9.020749530463945e-06,9.020749530463945e-06,2.907554699049797e-05,1.1005246960849036e-05,1.1005246960849036e-05
39,2.3331724150921218e-05,9.003405466501135e-06,9.003405466501135e-06,2.9224718673503958e-05,1.1048908163502347e-05,1.1048908163502347e-05
40,2.3241524104378186e-05,8.972314390121028e-06,8.972314390121028e-06,2.9076263672322966e-05,1.0997568097081967e-05,1.0997568097081967e-05
41,2.3209717255667783e-05,8.960582817962859e-06,8.960582817962859e-06,2.9044400434941053e-05,1.0986864253936801e-05,1.0986864253936801e-05
42,2.3129261535359547e-05,8.932973287301138e-06,8.932973287301138e-06,2.8997461413382553e-05,1.0971210031129885e-05,1.0971210031129885e-05
43,2.310967283847276e-05,8.925703696149867e-06,8.925703696149867e-06,2.9076785722281784e-05,1.0991838280460797e-05,1.0991838280460797e-05
44,2.3051214157021604e-05,8.90531919139903e-06,8.90531919139903e-06,2.8813567041652277e-05,1.091024842025945e-05,1.091024842025945e-05
45,2.303054861840792e-05,8.897741281543858e-06,8.897741281543858e-06,2.893937380576972e-05,1.095017978514079e-05,1.095017978514079e-05
46,2.2985730538493954e-05,8.882489055395126e-06,8.882489055395126e-06,2.8825370463891886e-05,1.0910821401921567e-05,1.0910821401921567e-05
47,2.2973126760916784e-05,8.877382242644671e-06,8.877382242644671e-06,2.8972588552278467e-05,1.0959619430650491e-05,1.0959619430650491e-05
48,2.293574289069511e-05,8.864927622198593e-06,8.864927622198593e-06,2.8802603992517106e-05,1.0902500434895046e-05,1.0902500434895046e-05
49,2.2927533791516908e-05,8.861528840498067e-06,8.861528840498067e-06,2.878925261029508e-05,1.0897786523855757e-05,1.0897786523855757e-05
50,2.2899896066519432e-05,8.85217832546914e-06,8.85217832546914e-06,2.8770748031092808e-05,1.0891640158661176e-05,1.0891640158661176e-05
51,2.2892658307682723e-05,8.84942892298568e-06,8.84942892298568e-06,2.8701646442641504e-05,1.0869610377994832e-05,1.0869610377994832e-05
52,2.288692121510394e-05,8.847147000778932e-06,8.847147000778932e-06,2.8728441975545138e-05,1.0876759006350767e-05,1.0876759006350767e-05
53,2.2878235540702008e-05,8.844048352329992e-06,8.844048352329992e-06,2.874821439036168e-05,1.088212138711242e-05,1.088212138711242e-05
54,2.2873115085531026e-05,8.841852832119912e-06,8.841852832119912e-06,2.8703518182737753e-05,1.0867614946619142e-05,1.0867614946619142e-05
55,2.286169728904497e-05,8.837853783916216e-06,8.837853783916216e-06,2.8739706976921298e-05,1.0878386092372239e-05,1.0878386092372239e-05
56,2.285484515596181e-05,8.835153494146653e-06,8.835153494146653e-06,2.8723576178890653e-05,1.0873524843191262e-05,1.0873524843191262e-05
57,2.2846594220027328e-05,8.83198663359508e-06,8.83198663359508e-06,2.8657130314968526e-05,1.0852345440071076e-05,1.0852345440071076e-05
58,2.283977300976403e-05,8.829492799122818e-06,8.829492799122818e-06,2.8738868422806263e-05,1.0877071872528177e-05,1.0877071872528177e-05
59,2.282986133650411e-05,8.82595941220643e-06,8.82595941220643e-06,2.864179441530723e-05,1.0845944416359998e-05,1.0845944416359998e-05
60,2.2824515326647088e-05,8.823734788165893e-06,8.823734788165893e-06,2.8657079383265227e-05,1.0851161277969368e-05,1.0851161277969368e-05
61,2.2816793716629036e-05,8.82091171661159e-06,8.82091171661159e-06,2.867755392799154e-05,1.0856913831958082e-05,1.0856913831958082e-05
62,2.2808804715168662e-05,8.817743037070613e-06,8.817743037070613e-06,2.8651773391175084e-05,1.0847003977687564e-05,1.0847003977687564e-05
63,2.280232911289204e-05,8.815409273665864e-06,8.815409273665864e-06,2.8668386221397668e-05,1.085268559108954e-05,1.085268559108954e-05
64,2.2795340555603616e-05,8.812763553578407e-06,8.812763553578407e-06,2.861567736545112e-05,1.0834729437192436e-05,1.0834729437192436e-05
65,2.2786054614698514e-05,8.80931293067988e-06,8.80931293067988e-06,2.860957829398103e-05,1.0833776286744978e-05,1.0833776286744978e-05
66,2.2777559934183955e-05,8.806098776403815e-06,8.806098776403815e-06,2.8661479518632405e-05,1.0849593309103511e-05,1.0849593309103511e-05
67,2.2770973373553716e-05,8.803558557701763e-06,8.803558557701763e-06,2.870796924980823e-05,1.0863465831789654e-05,1.0863465831789654e-05
68,2.276281884405762e-05,8.800629984762054e-06,8.800629984762054e-06,2.8567572371684946e-05,1.0819404451467562e-05,1.0819404451467562e-05
69,2.2756177713745274e-05,8.797927876003087e-06,8.797927876003087e-06,2.8598340577445924e-05,1.0827565347426571e-05,1.0827565347426571e-05
70,2.2749725758330896e-05,8.795516805548687e-06,8.795516805548687e-06,2.85619062196929e-05,1.0816173926286865e-05,1.0816173926286865e-05
71,2.2742040528100915e-05,8.79271283338312e-06,8.79271283338312e-06,2.8571404982358217e-05,1.0818938790180255e-05,1.0818938790180255e-05
72,2.2733514924766496e-05,8.789468665781897e-06,8.789468665781897e-06,2.8577667762874626e-05,1.0818917871802114e-05,1.0818917871802114e-05
73,2.2727090254193172e-05,8.786939361016266e-06,8.786939361016266e-06,2.8545699024107307e-05,1.0808472325152252e-05,1.0808472325152252e-05
74,2.2717131287208758e-05,8.78335049492307e-06,8.78335049492307e-06,2.856017636077013e-05,1.0812723303388339e-05,1.0812723303388339e-05
75,2.2712003556080163e-05,8.781310498306993e-06,8.781310498306993e-06,2.8553060474223457e-05,1.0810192179633304e-05,1.0810192179633304e-05
76,2.270362529088743e-05,8.778269148024265e-06,8.778269148024265e-06,2.8552956791827455e-05,1.0809082596097142e-05,1.0809082596097142e-05
77,2.2697018721373752e-05,8.775601600063965e-06,8.775601600063965e-06,2.8516302336356603e-05,1.0797619324875996e-05,1.0797619324875996e-05
78,2.268937896587886e-05,8.772723049332853e-06,8.772723049332853e-06,2.856425089703407e-05,1.081186746887397e-05,1.081186746887397e-05
79,2.268208481837064e-05,8.76998728926992e-06,8.76998728926992e-06,2.8498861865955405e-05,1.0790943633764982e-05,1.0790943633764982e-05
80,2.2675407308270223e-05,8.76752983458573e-06,8.76752983458573e-06,2.8516902602859773e-05,1.0796525202749763e-05,1.0796525202749763e-05
81,2.2666317818220705e-05,8.764081940171309e-06,8.764081940171309e-06,2.852653960871976e-05,1.0798435141623486e-05,1.0798435141623486e-05
82,2.266045703436248e-05,8.761670869716909e-06,8.761670869716909e-06,2.847776522685308e-05,1.0784464393509552e-05,1.0784464393509552e-05
